Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,x3PAr,TSp,eFGp,TOVp,ORBp,FT_FGA,DRBp,FGp,x3Pp,x2Pp,FTp,PTS_Per_G,TRB_Per_G,AST_Per_G,STL_Per_G,BLK_Per_G,TOV_Per_G
Milwaukee Bucks,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,0.476,0.353,0.565,0.773,118.122,49.732,26.049,7.5,5.927,13.866
Golden State Warriors,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,77.1,0.491,0.385,0.557,0.801,117.683,46.183,29.427,7.622,6.402,14.256
Toronto Raptors,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,0.474,0.366,0.539,0.804,114.439,45.195,25.427,8.293,5.329,14.024
Utah Jazz,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,80.3,0.468,0.356,0.541,0.736,111.72,46.354,26.012,8.085,5.89,15.122
Houston Rockets,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,74.4,0.449,0.356,0.551,0.791,113.915,42.061,21.232,8.537,4.939,13.341
Portland Trail Blazers,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,0.467,0.359,0.523,0.814,114.659,47.988,23.012,6.659,5.037,13.841
Denver Nuggets,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,78,0.466,0.351,0.527,0.755,110.671,46.39,27.378,7.732,4.427,13.439
Boston Celtics,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,77,0.465,0.365,0.527,0.802,112.39,44.549,26.28,8.61,5.305,12.829
Oklahoma City Thunder,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,78.2,0.454,0.348,0.51,0.713,114.476,48.073,23.378,9.341,5.183,13.963
Indiana Pacers,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,76.2,0.475,0.374,0.517,0.752,108.012,43.024,25.951,8.695,4.927,13.683
Philadelphia 76ers,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,0.471,0.359,0.529,0.771,115.183,47.768,26.915,7.39,5.268,14.915
San Antonio Spurs,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,79.4,0.478,0.392,0.513,0.819,111.659,44.72,24.549,6.11,4.707,12.098
Los Angeles Clippers,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,0.471,0.388,0.507,0.792,115.146,45.512,24.024,6.841,4.695,14.549
Orlando Magic,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,79.7,0.454,0.356,0.509,0.782,107.317,45.415,25.549,6.622,5.427,13.195
Brooklyn Nets,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,76.4,0.449,0.353,0.513,0.745,112.244,46.573,23.829,6.573,4.134,15.073
Miami Heat,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,77.6,0.45,0.349,0.509,0.695,105.707,46.341,24.28,7.646,5.463,14.732
Detroit Pistons,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,78.7,0.44,0.348,0.5,0.747,107.049,44.976,22.5,6.939,4.037,13.841
Sacramento Kings,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,75.5,0.464,0.378,0.504,0.726,114.183,45.427,25.402,8.28,4.427,13.354
Dallas Mavericks,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,77.5,0.447,0.34,0.524,0.742,108.866,45.317,23.39,6.5,4.28,14.232
Minnesota Timberwolves,26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,74.9,0.456,0.351,0.504,0.787,112.476,44.793,24.61,8.329,5.012,13.098
New Orleans Pelicans,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,76.8,0.473,0.344,0.536,0.761,115.439,47.293,27.024,7.439,5.378,14.817
Charlotte Hornets,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,77.1,0.448,0.351,0.507,0.797,110.744,43.805,23.232,7.207,4.939,12.207
Los Angeles Lakers,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,76.4,0.47,0.333,0.541,0.699,111.768,46.585,25.561,7.537,5.366,15.659
Memphis Grizzlies,27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,77.6,0.45,0.342,0.505,0.772,103.537,41.78,23.939,8.341,5.463,13.988
Washington Wizards,26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,74.1,0.468,0.341,0.543,0.768,114.024,42.354,26.268,8.329,4.622,14.073
Atlanta Hawks,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,76.4,0.451,0.352,0.518,0.752,113.341,46.098,25.829,8.232,5.11,17.037
Chicago Bulls,24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,77.3,0.453,0.351,0.496,0.783,104.939,42.89,21.902,7.354,4.28,14.134
Phoenix Suns,24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,72.5,0.459,0.329,0.525,0.779,107.5,40.378,23.866,8.963,5.098,15.598
New York Knicks,23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,76.1,0.433,0.34,0.479,0.759,104.573,44.732,20.073,6.793,5.146,14.037
Cleveland Cavaliers,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,77,0.444,0.355,0.488,0.792,104.476,42.659,20.707,6.512,2.378,13.488
