player_name,Pos,salary,exp_t_wA
Anthony Davis,C,25.434263,60.798468737440935
Joel Embiid,C,25.46725,52.101914241395995
Giannis Antetokounmpo,PF,24.157304,50.22390049356635
Andre Drummond,C,25.434262,48.87446179046831
Nikola Vucevic,C,12.75,45.400496105335364
KarlAnthony Towns,C,7.839435,45.18545066760722
Rudy Gobert,C,23.491573,44.55648212644455
Clint Capela,C,15.793104,42.41396824648895
Paul George,SF,30.5607,41.3139331146224
Kawhi Leonard,SF,23.114066,39.25454551065901
James Harden,PG,30.57,38.55431109528064
LeBron James,SF,35.65415,38.512239393801046
LaMarcus Aldridge,C,22.347015,37.72266154757886
Russell Westbrook,PG,35.665,35.803776958473385
Nikola Jokic,C,25.46725,35.63651749455967
Kevin Durant,SF,30,33.16834210190463
Hassan Whiteside,C,24.434262,32.36105801950359
John Collins,PF,2.29908,30.914005129426858
Deandre Ayton,C,8.1758400000000009,30.49957320522165
Stephen Curry,PG,37.457154,30.403082283021604
Lauri Markkanen,PF,4.53612,30.079595043745126
Jusuf Nurkic,C,11.111111,29.72494474406313
Bradley Beal,SG,25.434262,29.080576473766563
Damian Lillard,PG,27.977689,29.06020387623021
Kyrie Irving,PG,20.099189,28.579187298754718
Kemba Walker,PG,12,27.50687616135051
Myles Turner,C,3.294994,26.828107502895097
Julius Randle,PF,8.641,26.544341745861374
Blake Griffin,PF,31.873932,26.463244811083815
Steven Adams,C,24.157304,25.66978993179467
Danilo Gallinari,SF,21.587579,25.269361582483537
DeMar DeRozan,SG,27.739975,24.872596175706686
Serge Ibaka,C,21.666667,24.32778438236014
Montrezl Harrell,C,6,23.469007201190685
Willie CauleyStein,C,4.696874,23.396331633598756
Klay Thompson,SG,18.988725,22.998061188745357
Mike Conley,PG,30.521115000000002,22.96613374425512
Ben Simmons,PG,6.43452,22.87322957530715
Luka Doncic,SG,6.56904,22.583577444705625
Al Horford,C,28.92871,22.52683833194531
Jrue Holiday,SG,26.641111,22.24751074766831
Tristan Thompson,C,17.469565,21.64573404410753
CJ McCollum,SG,25.759766,21.629176046114573
Pascal Siakam,PF,1.544951,21.238977169400954
Buddy Hield,SG,3.83376,21.146036778975972
